route_number,location,stop_id,lat,lng
54A,Irving Park + Kilpatrick (West Leg),14552,41.953522,-87.745405
54A,Irving Park + Kostner,17865,41.953665,-87.738585
54A,Irving Park + Ohare Blue Line (54a +80),5711,41.953728,-87.730432
54A,Irving Park + Tripp,5713,41.953633,-87.73377
54A,Old Orchard Mall - Bloomingdales,3575,42.06078775,-87.75117025
54A,Old Orchard Mall - Macys,3574,42.059363,-87.750443
54A,Old Orchard Rd & Lawler,10446,42.062622,-87.752447
54A,Old Orchard Rd & Lockwood,10447,42.06263,-87.758677
54A,Old Orchard Rd & Skokie Court House,10450,42.063281,-87.7674675
54A,Old Orchard Rd & Woods,10448,42.062725,-87.76068
54A,Skokie Blvd & Crain,10444,42.038843,-87.747058
54A,Skokie Blvd & Emerson,3569,42.052163,-87.746755
54A,Skokie Blvd & Fargo,10435,42.016448,-87.747677
54A,Skokie Blvd & Foster,3570,42.053752,-87.746723
54A,Skokie Blvd & Greenleaf,10443,42.037,-87.747122
54A,Skokie Blvd & Gross Point,3568,42.050375,-87.746787
54A,Skokie Blvd & Howard,10437,42.01961,-87.747567
54A,Skokie Blvd & Lee,10442,42.035227,-87.747168
54A,Skokie Blvd & Lincoln,10436,42.017973,-87.74763
54A,Skokie Blvd & Madison,10440,42.031612,-87.747265
54A,Skokie Blvd & Main,10441,42.033438,-87.747217
54A,Skokie Blvd & Oakton,10438,42.02678,-87.746962
54A,Skokie Blvd & Searle,10439,42.029227,-87.74728
54A,Skokie Yellow Line Station,3562,42.039979,-87.7521675
54A,5420 W Old Orchard Rd,10451,42.062668,-87.763525
54A,Cicero & Ainslie,10487,41.969933,-87.747917
54A,Cicero & Albion,10472,42.000998,-87.748328
54A,Cicero & Argyle,10486,41.971793,-87.747948
54A,Cicero & Arthur,10473,41.999115,-87.748362
54A,Cicero & Belle Plaine,10202,41.955365,-87.747503
54A,Cicero & Berteau ,15189,41.956932,-87.747567
54A,Cicero & Berwyn,10483,41.978063,-87.748155
54A,Cicero & Cullom,10200,41.958958,-87.747677
54A,Cicero & Devon,10474,41.99701,-87.74844
54A,Cicero & Elston,10485,41.973112,-87.747995
54A,Cicero & Estes,10468,42.010233,-87.748107
54A,Cicero & Forest Glen,10480,41.985803,-87.748408
54A,Cicero & Foster,10484,41.97548,-87.748075
54A,Cicero & Glenlake,10477,41.991525,-87.748408
54A,Cicero & Hiawatha,10476,41.993273,-87.748408
54A,Cicero & Jarlath,15125,42.012832,-87.747948
54A,Cicero & Lawrence,10488,41.968137,-87.747805
54A,Cicero & Lunt,10469,42.00831,-87.748123
54A,Cicero & Montrose,10490,41.960857,-87.747677
54A,Cicero & North Shore,10471,42.002627,-87.748282
54A,Cicero & Pensacola,10491,41.960055,-87.747598
54A,Cicero & Peterson,15331,41.989523,-87.74844
54A,Cicero & Pratt,10470,42.004702,-87.748233
54A,Cicero & Rosemont,10475,41.995753,-87.748425
54A,Cicero & Sherwin,10466,42.014683,-87.747917
54A,Cicero & Wilson,10489,41.964488,-87.747725
54A,Dempster & Bronx,3560,42.040847,-87.750443
54A,Dempster & Bronx,3564,42.040735,-87.750872
54A,Dempster & Niles Center,3559,42.040813,-87.748472
54A,Dempster & Niles Center,3586,42.040695,-87.748488
54A,Dempster & Skokie Blvd,10455,42.040743,-87.747328
54A,Golf Road & Lamon,3577,42.055223,-87.748678
54A,Golf Road & Lavergne,3576,42.05523,-87.751127
54A,Irving Park & Avondale,10493,41.953577,-87.73075
54A,Irving Park & Keeler,5636,41.953577,-87.732625
54A,Irving Park & Kilbourn,16175,41.953427,-87.740525
54A,Irving Park & Kildare,5634,41.953538,-87.735565
54A,Irving Park & Kilpatrick ,5631,41.953418,-87.744753
54A,Irving Park & Kostner,5633,41.953507,-87.73822
54A,Irving Park & Milwaukee/Cicero,10492,41.953387,-87.746565
54A,Irving Park & Tripp,5635,41.953562,-87.734135
54A,Irving Park + Keystone,15535,41.953823,-87.730082
54A,Oakton Yellow Line Station,17675,42.028503,-87.747503
54A,Old Orchard Mall - Bloomingdales,3575,42.06078775,-87.75117025
54A,Old Orchard Mall - Macys,3574,42.059363,-87.750443
